"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME(shares)","VALUE ","52W H","52W L","365 D % CHNG27-May-2020","30 D % CHNG27-Apr-2021"
"ICICIPRULI","549.60","556.00","543.85","546.70","554.80","8.10","1.48",3587349,"1,977,490,262.76","577.85","353.45","39.07","4.74"
"DHANI","172.05","176.50","170.00","171.95","174.40","2.45","1.42",811882,"141,657,171.36","395.95","69.45","-","-2.61"
"ULTRACEMCO","6,633.95","6,721.00","6,588.15","6,598.50","6,692.50","94.00","1.42",328449,"2,187,105,761.61","7,055.95","3,600.00","68.98","5.09"
"CIPLA","934.35","951.00","924.00","934.35","947.00","12.65","1.35",3183414,"2,991,390,467.52","966.35","616.30","44.16","2.64"
"UNIONBANK","34.80","35.00","34.35","34.35","34.80","0.45","1.31",21104866,"732,127,801.54","45.25","23.10","45.24","0.44"
"HDFC","2,527.55","2,564.80","2,502.00","2,541.35","2,551.00","32.65","1.30",3221015,"8,165,015,343.80","2,896.00","1,577.00","53.19","5.01"
"TATACONSUM","659.95","665.00","650.20","654.95","663.40","8.45","1.29",3417033,"2,251,448,873.37","698.00","357.35","78.51","-2.17"
"HAVELLS","1,013.00","1,033.95","1,011.00","1,018.10","1,030.95","12.85","1.26",1367577,"1,405,486,234.44","1,231.90","474.10","105.16","2.81"
"MGL","1,182.00","1,197.55","1,163.00","1,175.10","1,189.85","14.75","1.26",539140,"638,190,800.80","1,257.00","779.65","20.82","4.42"
"BANDHANBNK","304.90","311.50","301.70","303.50","307.30","3.80","1.25",8322239,"2,560,003,938.79","430.70","211.15","39.12","-7.96"
"ASIANPAINT","2,938.00","2,989.95","2,936.10","2,940.70","2,976.10","35.40","1.20",2093635,"6,226,114,572.05","2,989.95","1,577.50","74.72","15.94"
"AXISBANK","737.90","753.00","734.00","739.85","748.75","8.90","1.20",9275086,"6,910,495,575.16","799.00","360.40","92.19","3.49"
"APOLLOHOSP","3,145.00","3,186.30","3,125.00","3,149.35","3,186.30","36.95","1.17",635444,"2,004,743,212.28","3,397.00","1,302.20","132.09","-1.51"
"YESBANK","13.40","13.60","13.35","13.35","13.50","0.15","1.12",65555223,"884,339,958.27","32.00","11.10","-50.28","-8.25"
"JSWENERGY","117.00","119.65","116.05","116.15","117.45","1.30","1.12",6116040,"721,815,040.80","125.50","39.65","190.01","5.98"
"TATAPOWER","105.30","106.95","103.80","105.35","106.50","1.15","1.09",29739476,"3,149,707,903.16","114.50","35.60","188.24","6.58"
"APLLTD","943.45","953.80","940.20","941.90","952.00","10.10","1.07",155211,"147,189,695.52","1,145.00","791.25","8.12","-4.44"
"TORNTPHARM","2,717.70","2,750.00","2,702.20","2,714.05","2,743.00","28.95","1.07",103596,"283,255,291.08","3,031.20","2,231.85","14.88","8.16"
"ADANIENT","1,307.05","1,321.50","1,292.00","1,302.60","1,316.45","13.85","1.06",2709718,"3,539,596,234.68","1,351.55","140.60","778.06","12.42"
"EICHERMOT","2,638.45","2,686.00","2,615.40","2,638.45","2,666.50","28.05","1.06",838679,"2,233,678,941.07","3,037.00","1,504.80","-84.06","8.95"
"MARICO","473.90","480.00","471.15","471.05","476.00","4.95","1.05",2255039,"1,072,316,145.28","487.60","315.00","37.01","14.49"
"AARTIIND","1,660.00","1,681.00","1,657.85","1,660.85","1,678.00","17.15","1.03",274281,"458,924,226.39","1,815.05","850.30","70.14","3.49"
"ONGC","112.50","114.35","111.40","112.35","113.50","1.15","1.02",16430926,"1,858,502,039.86","122.35","64.10","35.04","3.88"
"CROMPTON","398.00","400.50","393.10","394.05","398.00","3.95","1.00",567354,"225,665,053.50","456.00","211.20","75.64","2.38"
"TITAN","1,570.65","1,608.25","1,569.00","1,577.00","1,592.55","15.55","0.99",1525715,"2,433,774,796.55","1,621.35","875.00","77.19","5.72"
"BAJAJFINSV","11,713.20","11,855.05","11,618.00","11,713.20","11,828.40","115.20","0.98",241152,"2,827,237,109.76","12,024.95","4,201.50","165.91","6.08"
"BOSCHLTD","15,133.00","15,440.00","15,005.10","15,104.45","15,253.00","148.55","0.98",46291,"707,115,393.04","16,830.05","9,410.65","55.38","11.81"
"TORNTPOWER","429.00","436.40","424.60","429.25","433.35","4.10","0.96",746021,"322,534,719.14","465.90","293.00","34.79","8.31"
"VOLTAS","1,007.00","1,015.00","998.20","1,000.45","1,009.60","9.15","0.91",1462881,"1,476,412,649.25","1,132.00","466.00","108.36","4.52"
"CHOLAFIN","546.00","552.10","539.05","544.05","549.00","4.95","0.91",3364865,"1,841,287,776.65","600.95","129.60","283.94","-4.84"
"DIXON","4,019.95","4,050.00","3,950.45","3,996.65","4,030.95","34.30","0.86",184225,"739,401,775.50","21,499.00","3,345.15","-18.03","-4.88"
"HINDUNILVR","2,325.00","2,345.00","2,320.15","2,321.70","2,341.00","19.30","0.83",1178704,"2,750,882,969.28","2,505.90","1,990.00","12.85","-1.36"
"DLF","286.30","290.65","284.30","286.30","288.60","2.30","0.80",9776560,"2,818,582,248.00","332.70","134.50","90.04","15.77"
"BAJAJHLDNG","3,548.00","3,560.00","3,525.00","3,513.15","3,541.20","28.05","0.80",133830,"473,853,219.30","3,757.15","1,966.10","75.60","2.69"
"LUPIN","1,208.00","1,224.90","1,194.55","1,208.90","1,218.40","9.50","0.79",1983470,"2,409,241,670.20","1,246.80","828.40","38.99","13.03"
"NESTLEIND","17,509.00","17,745.25","17,415.25","17,509.40","17,630.55","121.15","0.69",57023,"1,006,244,964.90","18,844.00","15,100.00","-0.18","7.36"
"GODREJPROP","1,370.00","1,394.90","1,350.85","1,359.85","1,369.00","9.15","0.67",1078254,"1,485,650,708.82","1,572.25","636.05","97.54","-0.62"
"COLPAL","1,716.60","1,794.85","1,704.05","1,711.15","1,722.35","11.20","0.65",413842,"711,837,208.94","1,794.85","1,280.75","22.97","15.47"
"RAMCOCEM","964.85","974.95","955.05","961.05","967.30","6.25","0.65",487314,"472,090,310.64","1,110.00","595.60","59.22","-2.48"
"ESCORTS","1,162.00","1,174.00","1,155.50","1,162.35","1,169.90","7.55","0.65",1185585,"1,384,051,929.00","1,468.45","867.60","28.69","3.91"
"HDFCBANK","1,500.00","1,519.50","1,487.50","1,503.45","1,513.00","9.55","0.64",7830527,"11,802,248,599.67","1,641.00","913.95","57.98","6.45"
"TCS","3,150.00","3,170.35","3,128.60","3,143.60","3,163.40","19.80","0.63",1652799,"5,215,423,772.49","3,354.35","1,962.40","59.38","3.56"
"BRITANNIA","3,428.75","3,458.40","3,427.25","3,423.45","3,445.00","21.55","0.63",352802,"1,215,780,388.14","4,010.00","3,189.35","1.32","-0.74"
"ALKEM","2,970.00","3,039.00","2,945.05","2,957.30","2,975.35","18.05","0.61",202344,"605,225,068.08","3,151.50","2,238.00","30.69","7.19"
"SBIN","421.00","426.00","418.00","422.05","424.50","2.45","0.58",38291043,"16,193,282,084.70","433.65","155.20","161.66","19.39"
"COALINDIA","147.05","148.40","145.05","146.90","147.75","0.85","0.58",11767444,"1,726,284,034.80","163.00","109.55","3.96","10.41"
"AMBUJACEM","325.40","328.45","322.50","325.65","327.45","1.80","0.55",2664186,"867,485,603.46","335.00","181.65","70.01","5.37"
"IRCTC","1,909.85","1,919.00","1,897.15","1,896.25","1,906.00","9.75","0.51",497158,"948,144,936.54","2,073.00","1,290.05","34.45","5.85"
"UPL","811.70","821.85","808.25","811.70","815.85","4.15","0.51",3857904,"3,140,603,909.28","825.50","388.20","100.00","33.75"
"PETRONET","241.05","242.85","238.40","240.80","242.00","1.20","0.50",6795829,"1,641,124,745.21","280.75","207.25","-4.65","0.35"
"WHIRLPOOL","2,164.55","2,185.00","2,148.00","2,164.55","2,175.00","10.45","0.48",75042,"162,731,578.68","2,787.00","1,890.10","11.31","-2.56"
"ATGL","1,339.90","1,362.00","1,318.65","1,341.70","1,348.10","6.40","0.48",856715,"1,149,857,171.55","1,400.00","114.00","-","16.59"
"BERGEPAINT","802.25","813.90","799.20","802.25","806.00","3.75","0.47",960205,"773,377,913.15","842.75","454.40","63.14","13.96"
"MPHASIS","1,950.80","1,965.00","1,935.30","1,936.10","1,945.05","8.95","0.46",269385,"524,856,264.75","2,009.95","822.05","124.88","9.71"
"BAJFINANCE","5,620.00","5,664.70","5,560.00","5,610.75","5,635.75","25.00","0.45",1795811,"10,081,629,079.67","5,822.20","1,891.00","187.19","2.91"
"MCDOWELL-N","608.00","617.65","607.10","611.25","613.90","2.65","0.43",2167092,"1,329,337,574.64","661.65","494.00","2.89","17.65"
"LTI","3,969.00","3,970.00","3,911.10","3,930.45","3,947.00","16.55","0.42",186099,"734,791,430.61","4,483.00","1,775.10","118.50","1.03"
"BALKRISIND","2,190.00","2,208.95","2,167.10","2,190.85","2,199.50","8.65","0.39",277654,"609,508,837.34","2,223.10","1,060.00","103.06","23.78"
"HCLTECH","941.55","947.85","932.60","942.55","946.00","3.45","0.37",4171524,"3,930,076,190.88","1,067.00","523.00","71.29","4.85"
"INFY","1,401.50","1,401.50","1,383.00","1,405.05","1,395.00","4.95","0.36",4429904,"6,171,387,860.48","1,477.55","674.95","103.34","3.74"
"HEROMOTOCO","2,989.00","3,015.00","2,960.00","2,991.55","3,002.00","10.45","0.35",662303,"1,984,193,557.70","3,629.05","2,166.15","26.71","6.12"
"KOTAKBANK","1,799.00","1,811.80","1,785.00","1,800.75","1,806.90","6.15","0.34",2310809,"4,166,111,329.92","2,049.00","1,200.05","47.12","2.97"
"PIIND","2,618.00","2,628.00","2,580.00","2,606.30","2,615.00","8.70","0.33",243342,"635,932,948.86","2,795.00","1,500.00","69.33","3.77"
"LAURUSLABS","523.65","526.50","516.65","521.85","523.55","1.70","0.33",1532185,"800,413,444.00","1,550.00","252.00","11.40","15.26"
"TATAELXSI","3,628.00","3,712.00","3,565.00","3,629.75","3,641.00","11.25","0.31",241839,"882,734,115.51","4,090.00","748.65","374.54","4.30"
"VBL","1,019.75","1,019.75","1,007.05","1,007.55","1,010.60","3.05","0.30",154294,"156,102,325.68","1,130.00","586.00","59.51","6.00"
"MRF","83,237.00","83,965.00","83,000.00","83,382.10","83,630.00","247.90","0.30",10282,"859,050,715.18","98,599.95","55,300.00","41.06","3.30"
"INDUSTOWER","241.50","244.55","240.65","241.90","242.55","0.65","0.27",1469467,"357,051,091.66","282.65","162.20","-","-4.20"
"HINDZINC","326.90","330.50","322.30","326.65","327.50","0.85","0.26",2055959,"673,244,334.14","362.10","164.50","90.41","7.06"
"PRESTIGE","274.30","275.80","270.65","272.30","273.00","0.70","0.26",778606,"212,746,303.44","325.00","141.10","74.05","0.17"
"BEL","145.55","146.20","143.70","144.85","145.15","0.30","0.21",9687062,"1,405,011,472.48","160.00","66.20","109.32","9.94"
"GRASIM","1,465.25","1,494.90","1,455.00","1,465.45","1,468.35","2.90","0.20",2939614,"4,339,752,148.20","1,494.90","557.25","148.72","4.54"
"POLYCAB","1,675.00","1,700.00","1,665.10","1,674.90","1,678.00","3.10","0.19",216760,"365,249,270.40","1,700.00","634.00","146.53","14.17"
"SANOFI","7,747.00","7,760.00","7,703.05","7,716.90","7,730.00","13.10","0.17",8583,"66,318,094.44","8,989.00","7,424.00","-0.20","2.19"
"WIPRO","538.70","540.55","531.05","538.70","539.60","0.90","0.17",5386205,"2,894,546,567.00","545.00","196.05","153.15","9.33"
"NAVINFLUOR","3,215.05","3,250.00","3,202.70","3,213.35","3,218.55","5.20","0.16",106812,"344,357,615.52","3,649.15","1,470.00","105.25","-6.27"
"BPCL","473.45","473.45","468.30","471.50","472.25","0.75","0.16",6747781,"3,175,910,605.46","488.00","320.30","37.54","11.78"
"POWERGRID","226.00","226.60","223.75","225.45","225.75","0.30","0.13",7370024,"1,662,161,512.72","239.85","154.60","43.10","2.45"
"LTTS","2,705.00","2,743.65","2,696.40","2,705.25","2,708.80","3.55","0.13",121822,"331,489,844.20","3,062.15","1,121.35","130.96","-0.87"
"PGHH","13,101.00","13,170.00","13,050.10","13,082.90","13,100.00","17.10","0.13",3531,"46,323,789.27","14,122.00","9,691.40","32.24","-3.44"
"PNB","42.35","43.20","41.60","42.25","42.30","0.05","0.12",240394043,"10,214,342,887.07","46.35","26.30","57.94","21.23"
"SRF","6,513.30","6,590.90","6,495.00","6,515.50","6,518.65","3.15","0.05",90431,"591,198,992.67","6,999.00","3,370.00","86.84","1.31"
"TATAMOTORS","318.70","319.75","312.10","318.75","318.90","0.15","0.05",30917309,"9,789,965,894.85","357.00","84.55","266.38","8.47"
"PFIZER","5,160.00","5,165.00","5,089.00","5,131.35","5,132.00","0.65","0.01",56016,"287,216,998.56","5,900.00","3,930.85","27.06","-2.70"
"L&TFH","94.35","94.60","92.10","93.60","93.60","-","-",20573947,"1,926,750,136.55","113.40","48.97","72.22","7.52"
"BATAINDIA","1,540.00","1,554.90","1,536.15","1,545.10","1,545.00","-0.10","-0.01",301710,"465,991,095.00","1,681.95","1,213.80","16.56","12.82"
"SHREECEM","27,920.00","28,515.00","27,250.00","27,655.10","27,651.00","-4.10","-0.01",134138,"3,737,811,707.96","32,048.00","18,183.55","32.59","-0.92"
"COFORGE","3,558.00","3,579.00","3,511.10","3,543.05","3,542.40","-0.65","-0.02",418257,"1,483,239,703.68","3,585.00","1,302.00","-","23.49"
"ACC","1,979.10","2,001.40","1,968.50","1,985.45","1,985.00","-0.45","-0.02",443113,"879,490,682.40","2,040.00","1,180.00","56.31","5.45"
"RECLTD","148.00","148.00","144.30","146.15","146.10","-0.05","-0.03",7184396,"1,047,700,468.68","157.00","85.50","65.05","14.09"
"PFC","121.10","121.75","120.00","120.50","120.40","-0.10","-0.08",4718491,"569,569,048.61","140.50","74.35","60.24","11.16"
"CASTROLIND","134.50","136.30","134.00","134.65","134.50","-0.15","-0.11",983488,"132,751,210.24","140.30","104.00","16.53","7.08"
"MFSL","938.20","948.80","927.95","935.25","934.20","-1.05","-0.11",569105,"532,596,914.25","964.80","431.00","94.70","4.39"
"TECHM","1,025.00","1,032.00","1,013.00","1,026.25","1,025.00","-1.25","-0.12",1801746,"1,842,105,110.40","1,081.55","517.15","93.47","6.86"
"HDFCAMC","2,984.95","3,012.00","2,932.10","2,969.75","2,965.00","-4.75","-0.16",360601,"1,074,183,500.87","3,358.90","2,070.05","17.64","6.97"
"SBILIFE","977.00","982.80","970.65","976.85","975.20","-1.65","-0.17",785669,"765,964,421.48","1,044.70","728.75","27.09","5.18"
"GMRINFRA","26.15","26.40","25.95","26.15","26.10","-0.05","-0.19",9272882,"242,671,321.94","29.95","17.15","37.99","13.94"
"IBULHSGFIN","223.20","232.70","220.00","223.55","223.05","-0.50","-0.22",20839252,"4,721,757,718.16","263.25","117.20","83.01","23.47"
"JUBLFOOD","3,117.70","3,179.65","3,092.70","3,120.60","3,112.95","-7.65","-0.25",552411,"1,731,322,363.32","3,215.50","1,596.05","88.37","7.92"
"EXIDEIND","192.75","193.85","190.50","191.90","191.40","-0.50","-0.26",2767356,"532,356,273.72","219.30","145.00","17.80","7.84"
"SUNPHARMA","672.00","675.70","659.00","669.75","668.00","-1.75","-0.26",13947126,"9,307,475,064.84","721.85","444.70","41.22","2.34"
"SBICARD","1,049.00","1,057.00","1,037.00","1,047.20","1,044.05","-3.15","-0.30",777506,"812,991,373.84","1,139.00","518.15","94.34","6.40"
"AMARAJABAT","744.55","747.45","737.60","743.75","741.50","-2.25","-0.30",1784471,"1,323,256,625.34","1,025.55","601.10","21.01","-8.26"
"BAJAJ-AUTO","4,190.00","4,228.70","4,167.00","4,199.50","4,186.75","-12.75","-0.30",321021,"1,345,321,965.96","4,361.40","2,450.00","54.93","9.54"
"EMAMILTD","506.50","506.50","499.95","503.35","501.80","-1.55","-0.31",216111,"108,617,388.60","547.00","184.15","158.33","2.38"
"BHARATFORG","678.00","686.00","673.05","677.55","675.00","-2.55","-0.38",1413697,"960,578,837.56","694.85","290.00","107.81","11.00"
"APOLLOTYRE","224.65","224.65","221.00","223.60","222.75","-0.85","-0.38",2710673,"602,392,860.79","261.25","94.45","130.28","3.35"
"CADILAHC","620.00","620.00","611.55","621.30","618.90","-2.40","-0.39",4405464,"2,717,334,249.84","673.70","333.35","80.30","8.78"
"LT","1,472.30","1,476.00","1,457.55","1,478.10","1,472.30","-5.80","-0.39",2405318,"3,527,519,112.90","1,593.00","843.00","58.55","10.27"
"INDUSINDBK","1,015.00","1,020.40","1,004.00","1,019.35","1,014.80","-4.55","-0.45",2643491,"2,680,975,702.38","1,119.50","371.60","158.95","9.03"
"OIL","133.30","133.70","131.50","132.95","132.35","-0.60","-0.45",490750,"65,156,877.50","137.15","82.05","56.87","8.89"
"BANKINDIA","77.90","78.10","76.35","77.55","77.20","-0.35","-0.45",4394510,"339,651,677.90","101.40","31.05","146.58","16.88"
"IOC","110.00","110.50","108.35","109.85","109.35","-0.50","-0.46",18219003,"1,992,430,168.08","113.70","71.65","32.03","20.91"
"TATACHEM","710.95","713.55","701.05","708.55","705.30","-3.25","-0.46",2490566,"1,755,998,463.96","833.95","273.45","131.21","-10.59"
"GODREJAGRO","557.80","557.90","549.00","553.10","550.00","-3.10","-0.56",116067,"64,146,748.89","596.20","360.50","47.73","10.76"
"HDFCLIFE","670.70","670.70","662.45","668.95","665.20","-3.75","-0.56",3123672,"2,080,927,812.96","746.00","486.25","27.86","0.58"
"CUMMINSIND","789.50","794.80","777.50","791.05","786.55","-4.50","-0.57",1417432,"1,114,611,827.52","934.25","342.75","110.19","-5.56"
"DEEPAKNTR","1,800.00","1,817.10","1,780.05","1,794.30","1,784.00","-10.30","-0.57",600264,"1,079,328,695.76","1,988.00","457.70","260.23","-3.82"
"IDEA","8.75","8.80","8.65","8.70","8.65","-0.05","-0.57",68439642,"594,740,488.98","13.80","5.65","32.82","4.19"
"HINDPETRO","281.95","281.95","278.10","280.65","279.00","-1.65","-0.59",2670761,"747,786,372.39","291.80","162.90","44.26","19.60"
"TVSMOTOR","624.10","629.00","613.45","619.70","615.95","-3.75","-0.61",2432413,"1,505,736,619.39","666.00","307.20","84.49","-1.78"
"GODREJIND","529.00","536.40","520.70","528.10","524.90","-3.20","-0.61",253008,"133,499,671.20","611.55","303.50","65.73","3.56"
"AUBANK","998.75","1,000.00","979.65","995.45","989.40","-6.05","-0.61",741837,"733,053,649.92","1,354.40","386.10","154.20","-0.88"
"INDIAMART","7,469.00","7,520.00","7,334.00","7,435.55","7,389.00","-46.55","-0.63",73640,"543,932,286.80","9,950.00","2,035.00","200.14","-6.46"
"ICICIGI","1,491.90","1,494.70","1,454.85","1,484.05","1,474.75","-9.30","-0.63",682347,"1,003,589,144.13","1,626.45","1,200.00","14.10","4.95"
"ABBOTINDIA","16,172.00","16,202.75","15,993.00","16,102.30","16,000.00","-102.30","-0.64",11121,"179,101,480.80","17,799.00","13,959.80","-3.71","6.27"
"CUB","172.45","177.95","169.60","173.75","172.55","-1.20","-0.69",3710646,"643,054,951.80","200.00","115.60","28.13","4.20"
"ASHOKLEY","125.00","125.85","123.00","124.60","123.70","-0.90","-0.72",7781980,"965,121,159.60","138.90","42.00","193.52","10.56"
"DALBHARAT","1,779.95","1,810.25","1,750.80","1,776.10","1,763.25","-12.85","-0.72",53111,"94,106,318.68","1,911.00","530.00","220.10","17.91"
"SUNTV","545.40","548.05","538.00","546.00","542.00","-4.00","-0.73",1359295,"737,920,476.65","570.40","368.00","41.84","0.49"
"HAL","1,030.00","1,030.95","1,010.10","1,029.70","1,021.80","-7.90","-0.77",119851,"122,094,610.72","1,423.00","531.50","85.15","7.57"
"CANBK","162.00","163.65","158.10","161.90","160.50","-1.40","-0.86",25808993,"4,163,506,750.76","174.60","80.40","93.20","16.68"
"ADANIPORTS","779.95","779.95","761.70","776.15","769.15","-7.00","-0.90",7820165,"6,002,680,452.35","885.00","298.00","139.70","6.31"
"FORTIS","235.00","235.00","227.00","230.10","228.00","-2.10","-0.91",3970503,"914,089,200.66","242.10","113.55","98.96","9.21"
"ZEEL","212.10","214.95","208.15","211.75","209.70","-2.05","-0.97",15441552,"3,266,969,156.64","261.00","134.65","15.36","14.09"
"BHEL","72.05","72.45","70.80","71.90","71.20","-0.70","-0.97",45690142,"3,262,733,040.22","77.70","25.15","156.79","48.86"
"IDFCFIRSTB","59.15","59.15","58.15","59.15","58.55","-0.60","-1.01",21775996,"1,276,508,885.52","69.30","19.70","167.65","8.14"
"SYNGENE","594.15","600.75","581.00","588.30","582.30","-6.00","-1.02",313398,"185,174,342.28","644.55","340.20","64.74","6.24"
"RBLBANK","216.20","216.40","212.80","216.25","213.80","-2.45","-1.13",7126476,"1,529,555,543.88","274.30","112.65","79.46","16.42"
"NATCOPHARM","1,067.70","1,076.20","1,037.85","1,063.20","1,049.80","-13.40","-1.26",551368,"586,164,834.48","1,188.05","571.80","83.39","18.61"
