"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME(shares)","VALUE ","52W H","52W L","365 D % CHNG27-May-2020","30 D % CHNG27-Apr-2021"
"COROMANDEL","817.75","824.00","795.70","811.05","800.00","-11.05","-1.36",421558,"338,253,923.62","880.90","616.10","25.88","9.32"
"ABCAPITAL","123.00","123.40","120.70","123.35","121.55","-1.80","-1.46",2510310,"305,429,417.70","139.70","44.00","169.03","7.68"
"INDIGO","1,792.00","1,831.15","1,732.00","1,776.10","1,750.00","-26.10","-1.47",1491987,"2,631,417,471.90","1,831.15","875.25","83.96","8.07"
"PAGEIND","31,350.00","31,525.00","30,461.00","31,362.30","30,811.00","-551.30","-1.76",43081,"1,333,082,954.84","32,460.00","17,636.15","66.23","5.74"
"UBL","1,265.80","1,269.00","1,245.80","1,275.80","1,252.00","-23.80","-1.87",551702,"692,843,922.66","1,329.65","897.00","33.31","5.27"
"FEDERALBNK","88.80","89.35","87.00","89.00","87.30","-1.70","-1.91",19382451,"1,702,360,671.33","92.50","40.65","98.22","11.11"
"SRTRANSFIN","1,466.00","1,466.00","1,419.00","1,455.05","1,425.55","-29.50","-2.03",1526873,"2,184,939,994.27","1,534.95","536.27","154.25","8.18"
"AUROPHARMA","1,029.00","1,032.00","983.55","1,022.20","1,001.00","-21.20","-2.07",6480864,"6,497,066,160.00","1,063.90","706.30","37.09","4.22"
"AJANTPHARM","1,983.55","1,989.95","1,908.55","1,969.30","1,926.00","-43.30","-2.20",126983,"245,779,405.99","2,049.00","1,331.00","29.22","7.02"
"NAUKRI","4,474.95","4,484.05","4,332.15","4,461.75","4,362.00","-99.75","-2.24",776347,"3,396,642,340.52","5,880.00","2,434.20","66.25","-9.22"
"GLENMARK","593.00","601.70","578.25","607.60","593.40","-14.20","-2.34",3562450,"2,105,514,823.50","640.00","341.50","71.13","5.34"
"GSPL","281.60","282.00","263.65","278.55","271.15","-7.40","-2.66",1272694,"346,618,210.90","311.45","177.40","41.04","3.30"
"BANKBARODA","83.00","83.50","79.10","83.85","80.65","-3.20","-3.82",129974240,"10,538,311,379.20","99.85","37.50","115.28","25.62"
"M&M","824.00","824.00","790.00","845.85","809.00","-36.85","-4.36",17596018,"14,132,769,737.24","952.05","423.85","93.85","12.40"
